modifier type "Weapon"
modifier "Handedness","Handedness"
modifier "IsTwoHanded","YesNo"
modifier "Damage Type","Damage Type"
modifier "Damage","Qualifier"
modifier "Damage Range","Qualifier"
modifier "DamageBoost","ConstantInt"
modifier "DamageFromBase","ConstantInt"
modifier "CriticalDamage","Qualifier"
modifier "CriticalChance","Penalty Qualifier"
modifier "Movement","Penalty Qualifier"
modifier "Initiative","ConstantInt"
modifier "Requirements","Requirements"
modifier "Slot","Itemslot"
modifier "Durability","Qualifier"
modifier "DurabilityDegradeSpeed","Qualifier"
modifier "Value","PreciseQualifier"
modifier "WeaponType","WeaponType"
modifier "AnimType","AnimType"
modifier "WeaponRange","Qualifier"
modifier "ModifierType","ModifierType"
modifier "Projectile","FixedString"
modifier "Act","Act"
modifier "Act part","ActPart"
modifier "StrengthBoost","Penalty Qualifier"
modifier "DexterityBoost","Penalty Qualifier"
modifier "IntelligenceBoost","Penalty Qualifier"
modifier "ConstitutionBoost","Penalty Qualifier"
modifier "SpeedBoost","Penalty Qualifier"
modifier "PerceptionBoost","Penalty Qualifier"
modifier "WarriorLore","Penalty Qualifier"
modifier "RangerLore","Penalty Qualifier"
modifier "SingleHanded","Penalty Qualifier"
modifier "TwoHanded","Penalty Qualifier"
modifier "Blackrock","Penalty Qualifier"
modifier "Bow","Penalty Qualifier"
modifier "Crossbow","Penalty Qualifier"
modifier "Wand","Penalty Qualifier"
modifier "DualWielding","Penalty Qualifier"
modifier "Shield","Penalty Qualifier"
modifier "Throwing","Penalty Qualifier"
modifier "Reflexes","Penalty Qualifier"
modifier "ArmorMastery","Penalty Qualifier"
modifier "BodyBuilding","Penalty Qualifier"
modifier "Sourcery","Penalty Qualifier"
modifier "Telekinesis","Penalty Qualifier"
modifier "Willpower","Penalty Qualifier"
modifier "FireSpecialist","Penalty Qualifier"
modifier "WaterSpecialist","Penalty Qualifier"
modifier "AirSpecialist","Penalty Qualifier"
modifier "EarthSpecialist","Penalty Qualifier"
modifier "Repair","Penalty Qualifier"
modifier "Sneaking","Penalty Qualifier"
modifier "PickPocket","Penalty Qualifier"
modifier "LockPicking","Penalty Qualifier"
modifier "Loremaster","Penalty Qualifier"
modifier "Crafting","Penalty Qualifier"
modifier "Barter","Penalty Qualifier"
modifier "Charm","Penalty Qualifier"
modifier "Intimidate","Penalty Qualifier"
modifier "Reason","Penalty Qualifier"
modifier "Charisma","Penalty Qualifier"
modifier "Leadership","Penalty Qualifier"
modifier "Luck","Penalty Qualifier"
modifier "FireResistanceBoost","Penalty Qualifier"
modifier "EarthResistanceBoost","Penalty Qualifier"
modifier "WaterResistanceBoost","Penalty Qualifier"
modifier "AirResistanceBoost","Penalty Qualifier"
modifier "PoisonResistanceBoost","Penalty Qualifier"
modifier "PiercingResistanceBoost","Penalty Qualifier"
modifier "SlashingResistanceBoost","Penalty Qualifier"
modifier "CrushingResistanceBoost","Penalty Qualifier"
modifier "ShadowResistanceBoost","Penalty Qualifier"
modifier "SightBoost","Penalty Qualifier"
modifier "HearingBoost","Penalty Qualifier"
modifier "VitalityBoost","Penalty Qualifier"
modifier "MagicPointsBoost","Penalty Qualifier"
modifier "ChanceToHitBoost","ConstantInt"
modifier "APMaximum","ConstantInt"
modifier "APStart","ConstantInt"
modifier "APRecovery","ConstantInt"
modifier "OffenseRatingBoost","Penalty Qualifier"
modifier "DefenseRatingBoost","Penalty Qualifier"
modifier "Unique","YesNo"
